C
0.2565644169	0.3998737261	0.6191035043	0.0881405491	0.5812833798
0.8341390323	0.8417301406	0.553310602	0.4275868451	0.3839495266
0.1004940239	0.1214807089	0.9599180175	0.5112989354	0.6948176981
0.3804506403	0.7428206834	0.9395745955	0.293730028	0.7716452195
0.839408827	0.4887209875	0.501169893	0.1772321309	0.6622808776
0.3675092114	0.1280550733	0.132815388	0.965253612	0.4334839093
0.4773419797	0.1069217147	0.6957929377	0.6023572646	0.3565778551
0.2473069695	0.5513242413	0.0094065331	0.5038713869	0.82980621
0.9511979674	0.6285100374	0.592011936	0.7853369997	0.5074934815
0.4702401781	0.1453225384	0.2129238448	0.5707342019	0.3170430381
c0
0	0	0	0	0	0	0	0	0	0
Sigma
1	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	1


